hotel,hotel_type,arrival_date,lead_time,market_segment,distribution_channel,customer_type,deposit_type,country,agent,adr,estimated_revenue,is_canceled,cancel_risk_score,predicted_cancel
Resort Hotel - Pune,Resort Hotel,2024-12-18,75,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,15.0,105.5,316.5,1,0.6542958110318239,1
Resort Hotel - Chennai,Resort Hotel,2024-12-17,12,Online TA,TA/TO,Transient,No Deposit,IRL,240.0,88.2,88.2,0,0.024247734157586943,0
Resort Hotel - Delhi,Resort Hotel,2024-11-11,7,Direct,Direct,Transient,No Deposit,GBR,250.0,153.0,612.0,0,0.10373795419761336,0
Resort Hotel - Pune,Resort Hotel,2024-11-23,37,Online TA,TA/TO,Transient,No Deposit,GBR,241.0,97.29,486.45,0,0.006900165625694284,0
Resort Hotel - Pune,Resort Hotel,2024-12-01,48,Offline TA/TO,TA/TO,Contract,No Deposit,IRL,8.0,79.5,556.5,0,0.008490550586175444,0
Resort Hotel - Chennai,Resort Hotel,2024-11-03,60,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,107.0,749.0,1,0.8891315614517472,1
Resort Hotel - Chandigarh,Resort Hotel,2024-11-01,70,Direct,Direct,Transient,No Deposit,ROU,250.0,137.0,685.0,0,0.1484852707551176,0
Resort Hotel - Goa,Resort Hotel,2024-12-28,50,Online TA,TA/TO,Transient,No Deposit,IRL,241.0,119.35,835.45,0,0.0025517760741508924,0
Resort Hotel - Bhopal,Resort Hotel,2024-11-05,1,Online TA,TA/TO,Transient,No Deposit,ARG,240.0,147.0,147.0,0,0.001956809778808206,0
Resort Hotel - Mumbai,Resort Hotel,2024-11-21,0,Direct,Direct,Transient,No Deposit,PRT,0.0,123.0,123.0,0,0.2152863499612424,0
Resort Hotel - Chandigarh,Resort Hotel,2024-11-23,10,Online TA,TA/TO,Transient,No Deposit,USA,240.0,153.0,306.0,0,0.0019979485353938727,0
Resort Hotel - Ahmedabad,Resort Hotel,2024-12-30,15,Online TA,TA/TO,Transient,No Deposit,ESP,240.0,114.5,229.0,0,0.7981032475249233,1
Resort Hotel - Hyderabad,Resort Hotel,2024-11-21,63,Offline TA/TO,TA/TO,Transient,No Deposit,ESP,105.0,196.54,1375.7799,0,0.016435331980872745,0
Resort Hotel - Lucknow,Resort Hotel,2024-12-16,73,Direct,Direct,Transient,No Deposit,PRT,250.0,172.0,1204.0,1,0.4540984697763838,0
Resort Hotel - Chennai,Resort Hotel,2024-12-24,102,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,73.8,516.60004,0,0.9284716683042966,1
Resort Hotel - Kochi,Resort Hotel,2024-11-08,78,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,139.0,973.0,0,0.06701474732658863,0
Resort Hotel - Chennai,Resort Hotel,2024-12-18,51,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,105.0,105.0,1,0.8776607819954714,1
Resort Hotel - Bangalore,Resort Hotel,2024-11-07,36,Direct,Direct,Transient,No Deposit,PRT,250.0,123.0,123.0,1,0.19016209584484395,0
Resort Hotel - Mumbai,Resort Hotel,2024-12-16,5,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,97.0,97.0,1,0.49054853880977856,0
Resort Hotel - Chandigarh,Resort Hotel,2024-11-09,109,Offline TA/TO,TA/TO,Transient,No Deposit,CN,241.0,85.59,427.94998,0,0.0007116378648292285,0
Resort Hotel - Pune,Resort Hotel,2024-12-25,64,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,107.0,535.0,0,0.8526422771497091,1
Resort Hotel - Hyderabad,Resort Hotel,2024-12-03,39,Online TA,TA/TO,Transient,No Deposit,ESP,240.0,163.0,978.0,0,0.8441899401428493,1
Resort Hotel - Hyderabad,Resort Hotel,2024-12-07,34,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,163.0,978.0,1,0.9293436338131388,1
Resort Hotel - Pune,Resort Hotel,2024-11-05,101,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,114.0,798.0,1,0.8169193044682409,1
Resort Hotel - Bangalore,Resort Hotel,2024-12-21,27,Offline TA/TO,TA/TO,Transient,No Deposit,ESP,175.0,98.4,688.8,0,0.011608441212000463,0
Resort Hotel - Chandigarh,Resort Hotel,2024-12-23,7,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,98.0,196.0,0,0.04756037505591738,0
Resort Hotel - Chennai,Resort Hotel,2024-11-11,98,Online TA,TA/TO,Transient,No Deposit,USA,240.0,87.3,174.6,0,0.0014595001325376934,0
Resort Hotel - Indore,Resort Hotel,2024-12-04,48,Online TA,TA/TO,Transient,No Deposit,PRT,240.0,167.0,668.0,1,0.8241887949843079,1
Resort Hotel - Chennai,Resort Hotel,2024-12-05,65,Offline TA/TO,TA/TO,Transient,No Deposit,PRT,127.0,83.5,584.5,0,0.6596481515257114,1
Resort Hotel - Chennai,Resort Hotel,2024-12-20,21,Direct,Direct,Transient,No Deposit,PRT,250.0,185.5,556.5,0,0.41748123972399026,0
