threshold,touched_orders,touch_rate,touched_canceled_orders,cancel_recall,precision,estimated_saved_orders,estimated_saved_revenue,intervention_cost,estimated_net_benefit
0.3,8839,0.4947,6235,0.9339,0.7054,935.25,148944.98,44195.0,104749.98
0.35,8350,0.4673,6135,0.919,0.7347,920.25,146169.98,41750.0,104419.98
0.4,7893,0.4417,6003,0.8992,0.7605,900.45,142895.95,39465.0,103430.95
0.45,7413,0.4149,5850,0.8763,0.7892,877.5,138572.38,37065.0,101507.38
0.5,7037,0.3938,5709,0.8552,0.8113,856.35,134953.5,35185.0,99768.5
0.55,6635,0.3713,5540,0.8298,0.835,831.0,130447.35,33175.0,97272.35
0.6,6305,0.3529,5369,0.8042,0.8515,805.35,125794.8,31525.0,94269.8
0.65,5959,0.3335,5181,0.7761,0.8694,777.15,121029.51,29795.0,91234.51
0.7,5641,0.3157,5008,0.7501,0.8878,751.2,116060.35,28205.0,87855.35
0.75,5338,0.2987,4819,0.7218,0.9028,722.85,110955.12,26690.0,84265.12
0.8,4947,0.2769,4564,0.6836,0.9226,684.6,103117.35,24735.0,78382.35
