model,config_id,epoch,loss,auc,val_loss,val_auc,hidden_units,dropout_rate,learning_rate,batch_size,epochs_planned,embedding_dim
Embedding MLP,1,32,0.2734056115150451,0.952664852142334,0.2935487627983093,0.942831814289093,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,1,33,0.2735021412372589,0.9525216817855836,0.2940290570259094,0.9429007172584534,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,3,49,0.2738141119480133,0.9523902535438538,0.2937120795249939,0.943930983543396,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,3,48,0.2743368148803711,0.9522196650505066,0.2938457727432251,0.9438949227333068,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,1,31,0.2745592892169952,0.952142596244812,0.2923081815242767,0.9430195093154908,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,3,47,0.2750099003314972,0.9520202875137328,0.2937811613082886,0.9438713192939758,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,3,44,0.2748362421989441,0.9520161151885986,0.293450117111206,0.9438269138336182,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,3,50,0.2750358283519745,0.9519560933113098,0.2937289178371429,0.9439393877983092,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,3,45,0.2749950587749481,0.9519252181053162,0.2935939133167267,0.943898618221283,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,1,30,0.2755463719367981,0.9518255591392516,0.2936398088932037,0.9426172971725464,"(128, 64)",0.2,0.001,512,40,4.0
MLP,1,28,0.2758764326572418,0.9517531991004944,0.3050102591514587,0.938500165939331,"(128, 64)",0.2,0.001,512,40,
Embedding MLP,3,46,0.2756049335002899,0.9517125487327576,0.2937389612197876,0.943860650062561,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,2,19,0.2760476171970367,0.9516331553459167,0.3306300938129425,0.9376574754714966,"(256, 128)",0.3,0.001,512,40,
Embedding MLP,1,29,0.2759917974472046,0.9516313672065736,0.2933047711849212,0.9427764415740968,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,3,43,0.2762611210346222,0.9514936208724976,0.2933406829833984,0.9438599944114684,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,3,39,0.2764394581317901,0.9514714479446412,0.2935108840465545,0.9436973929405212,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,3,40,0.2764541804790497,0.9514026045799256,0.2944554090499878,0.94374018907547,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,1,27,0.2769205570220947,0.9513424634933472,0.3052285611629486,0.938464105129242,"(128, 64)",0.2,0.001,512,40,
Embedding MLP,1,28,0.277109146118164,0.9512288570404052,0.2925988435745239,0.9430480003356934,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,3,42,0.2772623002529144,0.9510979652404784,0.2939505577087402,0.943817138671875,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,3,41,0.277696818113327,0.9509820938110352,0.2938258647918701,0.9437434673309326,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,1,25,0.2774345576763153,0.9509792923927308,0.3070213198661804,0.9383591413497924,"(128, 64)",0.2,0.001,512,40,
MLP,1,26,0.2776214182376861,0.950920581817627,0.3067380487918854,0.9383661150932312,"(128, 64)",0.2,0.001,512,40,
Embedding MLP,3,38,0.2782453298568725,0.950843632221222,0.2934015393257141,0.94370299577713,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,1,24,0.2785042822360992,0.950755536556244,0.3070259094238281,0.9384084343910216,"(128, 64)",0.2,0.001,512,40,
Embedding MLP,3,37,0.2783363461494446,0.9507524967193604,0.2940335273742676,0.9435827136039734,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,3,36,0.2784056961536407,0.9507239460945128,0.2936022877693176,0.9436343908309937,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,1,23,0.2786579728126526,0.9507123827934264,0.3059355020523071,0.9386030435562134,"(128, 64)",0.2,0.001,512,40,
MLP,2,18,0.2784209549427032,0.9506064653396606,0.3213984072208404,0.9383354783058168,"(256, 128)",0.3,0.001,512,40,
Embedding MLP,3,34,0.2787584960460663,0.9505531191825868,0.2939740717411041,0.9435437917709352,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,1,22,0.2789353430271148,0.950551450252533,0.3074274957180023,0.9385026097297668,"(128, 64)",0.2,0.001,512,40,
Embedding MLP,1,27,0.2791208624839782,0.9505044221878052,0.292543888092041,0.9430392384529114,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,3,33,0.279243528842926,0.9504336714744568,0.2947681844234466,0.9434651732444764,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,3,35,0.2793839275836944,0.950400173664093,0.2935835421085357,0.943546712398529,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,3,32,0.2797191441059112,0.9502235651016236,0.2945951223373413,0.9434492588043212,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,2,17,0.2798366546630859,0.9502101540565492,0.3195590674877167,0.9383923411369324,"(256, 128)",0.3,0.001,512,40,
Embedding MLP,4,29,0.2806755304336548,0.9500452280044556,0.2950516641139984,0.9432762265205384,"(256, 128)",0.4,0.0005,512,50,16.0
Embedding MLP,3,31,0.2804542481899261,0.9499744176864624,0.2944442331790924,0.9434254169464112,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,1,21,0.2817260026931762,0.9495843052864076,0.3113865554332733,0.9378404021263124,"(128, 64)",0.2,0.001,512,40,
MLP,1,20,0.2818421125411987,0.9495097994804382,0.3107459545135498,0.9382495880126952,"(128, 64)",0.2,0.001,512,40,
Embedding MLP,2,40,0.2825601100921631,0.949351966381073,0.2917342185974121,0.9445555210113524,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,2,34,0.2825883626937866,0.9493314623832704,0.2917892336845398,0.9445329308509828,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,1,26,0.2821807861328125,0.9492968916893004,0.2972888052463531,0.9420416951179504,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,1,25,0.2824148833751678,0.9492125511169434,0.2969929575920105,0.9425643086433412,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,2,39,0.2828497290611267,0.9491931796073914,0.2916991114616394,0.9445573687553406,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,2,38,0.2829662561416626,0.9491786956787108,0.2917910516262054,0.9445632696151732,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,4,28,0.2829330265522003,0.949086844921112,0.2951845228672027,0.9433474540710448,"(256, 128)",0.4,0.0005,512,50,16.0
Embedding MLP,3,30,0.2826954126358032,0.9490764141082764,0.2958411276340484,0.9432187676429749,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,1,24,0.2828676998615265,0.949070394039154,0.2975740134716034,0.9425276517868042,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,2,30,0.2834585309028625,0.9490026235580444,0.2916937470436096,0.9444449543952942,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,4,27,0.283342182636261,0.9489635229110718,0.2932797372341156,0.9431260228157043,"(256, 128)",0.4,0.0005,512,50,16.0
Embedding MLP,2,35,0.2834286987781524,0.948923885822296,0.2918241322040558,0.9445274472236632,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,3,29,0.2832355797290802,0.9489118456840516,0.2950606048107147,0.9430734515190125,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,1,19,0.2835863828659057,0.9488880038261414,0.3106659948825836,0.9380635023117064,"(128, 64)",0.2,0.001,512,40,
Embedding MLP,2,32,0.2840579152107239,0.9487565755844116,0.2916986644268036,0.9444898962974548,"(128, 64)",0.3,0.001,512,40,8.0
MLP,2,16,0.2834354639053345,0.948733925819397,0.3331785500049591,0.9378446340560912,"(256, 128)",0.3,0.001,512,40,
Embedding MLP,2,37,0.2838647663593292,0.9487040638923644,0.2917550504207611,0.9445548057556152,"(128, 64)",0.3,0.001,512,40,8.0
MLP,1,18,0.2840248048305511,0.9487010836601256,0.3086329698562622,0.9375587701797484,"(128, 64)",0.2,0.001,512,40,
Embedding MLP,3,28,0.28400519490242,0.9486360549926758,0.2957204282283783,0.9431492686271667,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,2,33,0.2842376828193664,0.9486294984817504,0.2920216619968414,0.9445189833641052,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,4,26,0.2842893302440643,0.948624849319458,0.2933813631534576,0.9433437585830688,"(256, 128)",0.4,0.0005,512,50,16.0
Embedding MLP,3,27,0.2843173742294311,0.948527991771698,0.2951340675354004,0.9429112076759338,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,1,23,0.2847974896430969,0.9484349489212036,0.295082539319992,0.9429265260696412,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,2,29,0.284720629453659,0.9484323263168336,0.2918538451194763,0.9444370865821838,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,2,36,0.2848940193653106,0.9484098553657532,0.2916733622550964,0.9445569515228271,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,2,31,0.2849604785442352,0.9483455419540404,0.2915758192539215,0.9444997310638428,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,3,25,0.2847932577133178,0.9483019709587096,0.2962299585342407,0.9426838159561156,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,3,26,0.2850327491760254,0.9482297897338868,0.2958319187164306,0.9427846074104308,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,2,28,0.2855108082294464,0.9481680989265442,0.2917076051235199,0.9443825483322144,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,2,26,0.2853069007396698,0.948138952255249,0.2917719185352325,0.9443941712379456,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,2,24,0.2863591015338897,0.9479372501373292,0.2914176285266876,0.9442086815834044,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,2,27,0.2865700423717499,0.9479370713233948,0.291467010974884,0.944339394569397,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,4,25,0.2864478528499603,0.9479302167892456,0.2939936518669128,0.9430643320083618,"(256, 128)",0.4,0.0005,512,50,16.0
Embedding MLP,1,21,0.2865330874919891,0.9478585124015808,0.2986243069171905,0.9425955414772034,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,1,22,0.2863902747631073,0.947848618030548,0.2971647977828979,0.9429500699043274,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,2,25,0.2865770161151886,0.9477345943450928,0.2916517853736877,0.944227933883667,"(128, 64)",0.3,0.001,512,40,8.0
MLP,2,15,0.2865625321865082,0.9477158188819884,0.3287752568721771,0.938096046447754,"(256, 128)",0.3,0.001,512,40,
Embedding MLP,2,23,0.2872639000415802,0.9474126696586608,0.2934335172176361,0.9441350698471068,"(128, 64)",0.3,0.001,512,40,8.0
MLP,1,17,0.2874407470226288,0.9474114179611206,0.3170330226421356,0.9369338154792786,"(128, 64)",0.2,0.001,512,40,
Embedding MLP,3,23,0.2873755097389221,0.9473875164985656,0.2974711060523987,0.942703127861023,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,2,22,0.287723034620285,0.9473764896392822,0.2913247048854828,0.9440512657165528,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,4,23,0.2879703044891357,0.947336971759796,0.2936150431632995,0.9431329369544984,"(256, 128)",0.4,0.0005,512,50,16.0
Embedding MLP,3,24,0.2875629961490631,0.9473239779472352,0.2953352034091949,0.9428915977478028,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,4,24,0.2878466248512268,0.947227954864502,0.2954114973545074,0.9433562755584716,"(256, 128)",0.4,0.0005,512,50,16.0
Embedding MLP,3,22,0.2878451943397522,0.9472012519836426,0.2967055141925812,0.9425727128982544,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,1,20,0.288056343793869,0.9471808671951294,0.2977972626686096,0.9421778321266174,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,2,21,0.2882534265518188,0.9471765756607056,0.2931373119354248,0.9440243244171144,"(128, 64)",0.3,0.001,512,40,8.0
MLP,1,16,0.2884162962436676,0.9470033645629884,0.3158377707004547,0.9376572370529176,"(128, 64)",0.2,0.001,512,40,
MLP,2,14,0.2883021235466003,0.946992576122284,0.3304800689220428,0.9386679530143738,"(256, 128)",0.3,0.001,512,40,
Embedding MLP,4,22,0.2890928089618683,0.946891188621521,0.2949364781379699,0.9433457255363464,"(256, 128)",0.4,0.0005,512,50,16.0
Embedding MLP,3,20,0.2891864478588104,0.9467273950576782,0.296852707862854,0.9424197673797609,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,2,20,0.2895612418651581,0.9465779662132264,0.2933322787284851,0.9437254071235656,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,3,21,0.2892896234989166,0.9465662240982056,0.2963848710060119,0.9425628781318665,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,1,19,0.2895256578922272,0.9465640187263488,0.2983945310115814,0.9421398639678956,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,4,21,0.2906151711940765,0.9462434649467468,0.2962685227394104,0.9431291818618774,"(256, 128)",0.4,0.0005,512,50,16.0
MLP,1,15,0.2909109890460968,0.9460063576698304,0.3178040683269501,0.9374834299087524,"(128, 64)",0.2,0.001,512,40,
Embedding MLP,2,18,0.2915142178535461,0.9459367990493774,0.2923583984375,0.943745255470276,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,1,18,0.2914130687713623,0.9459165930747986,0.2993582785129547,0.941577136516571,"(128, 64)",0.2,0.001,512,40,4.0
MLP,3,30,0.291468471288681,0.945806324481964,0.3013958036899566,0.9397088289260864,"(256, 128)",0.4,0.0005,512,50,
Embedding MLP,2,19,0.2916180789470672,0.9457984566688538,0.2940698862075805,0.9436884522438048,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,4,20,0.2916901111602783,0.9457382559776306,0.2982754707336426,0.9430605173110962,"(256, 128)",0.4,0.0005,512,50,16.0
MLP,3,29,0.2916839718818664,0.9457213878631592,0.3033396005630493,0.9397749304771424,"(256, 128)",0.4,0.0005,512,50,
Embedding MLP,2,17,0.2923454046249389,0.945514976978302,0.2922411561012268,0.9438516497612,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,1,17,0.2923575639724731,0.9455010294914246,0.3017328977584839,0.941514015197754,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,4,19,0.2927686274051666,0.9454598426818848,0.2986809611320495,0.9430938363075256,"(256, 128)",0.4,0.0005,512,50,16.0
Embedding MLP,3,19,0.2925648093223572,0.945328176021576,0.3021342158317566,0.9418177008628844,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,3,28,0.2928000390529632,0.9453264474868774,0.3040339946746826,0.9398280382156372,"(256, 128)",0.4,0.0005,512,50,
Embedding MLP,1,16,0.2937710881233215,0.9450004696846008,0.2989215850830078,0.9414165019989014,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,3,18,0.294122040271759,0.9448921084403992,0.3012165427207947,0.941727876663208,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,2,16,0.2940788567066192,0.944844365119934,0.2943838834762573,0.943600594997406,"(128, 64)",0.3,0.001,512,40,8.0
MLP,2,13,0.2942281663417816,0.9447070360183716,0.3288703858852386,0.9380530714988708,"(256, 128)",0.3,0.001,512,40,
MLP,3,27,0.294549286365509,0.9446804523468018,0.308337539434433,0.9397652745246888,"(256, 128)",0.4,0.0005,512,50,
Embedding MLP,4,18,0.2950902283191681,0.9445839524269104,0.2981025278568268,0.9427027702331544,"(256, 128)",0.4,0.0005,512,50,16.0
MLP,3,25,0.2948738038539886,0.9445043206214904,0.3106602728366852,0.9398824572563172,"(256, 128)",0.4,0.0005,512,50,
MLP,1,14,0.2954069972038269,0.9442862272262572,0.3201008439064026,0.937138855457306,"(128, 64)",0.2,0.001,512,40,
Embedding MLP,2,15,0.2956173717975616,0.944208562374115,0.2946622669696808,0.9435880184173584,"(128, 64)",0.3,0.001,512,40,8.0
MLP,3,26,0.2955951988697052,0.9441545605659484,0.3092857003211975,0.9396222829818726,"(256, 128)",0.4,0.0005,512,50,
Embedding MLP,1,15,0.2958764135837555,0.9441368579864502,0.3010032773017883,0.9413621425628662,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,2,14,0.2958719730377197,0.944128155708313,0.2949694395065307,0.9432787895202636,"(128, 64)",0.3,0.001,512,40,8.0
MLP,3,24,0.2958276271820068,0.9441182017326356,0.3077757656574249,0.9395776987075806,"(256, 128)",0.4,0.0005,512,50,
Embedding MLP,3,17,0.2960649132728576,0.943982720375061,0.3020848929882049,0.9412474632263184,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,1,14,0.2965019941329956,0.9438990950584412,0.3014764189720154,0.9407960772514344,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,4,17,0.2969540059566498,0.9437952041625975,0.298597514629364,0.9422549605369568,"(256, 128)",0.4,0.0005,512,50,16.0
MLP,2,12,0.2973635792732239,0.9434665441513062,0.3246318995952606,0.9381368160247804,"(256, 128)",0.3,0.001,512,40,
MLP,3,23,0.2977493703365326,0.9434593319892884,0.3083927929401397,0.9397884607315063,"(256, 128)",0.4,0.0005,512,50,
Embedding MLP,2,13,0.2977143824100494,0.9433613419532776,0.2966054677963257,0.9428987503051758,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,3,15,0.2977754473686218,0.943292796611786,0.3043369054794311,0.9408626556396484,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,1,13,0.2981785833835602,0.9432864785194396,0.316093236207962,0.9372483491897584,"(128, 64)",0.2,0.001,512,40,
Embedding MLP,4,16,0.2981888651847839,0.9432641863822936,0.2995134592056274,0.9420409202575684,"(256, 128)",0.4,0.0005,512,50,16.0
Embedding MLP,1,13,0.2986469566822052,0.9430859088897704,0.3027259111404419,0.9409325122833252,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,3,16,0.2983810603618622,0.9430850744247437,0.3009121417999267,0.9413608312606812,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,3,22,0.2988611757755279,0.9428686499595642,0.3099491894245147,0.9392852187156676,"(256, 128)",0.4,0.0005,512,50,
Embedding MLP,2,12,0.2998527288436889,0.942587673664093,0.2998228669166565,0.9423038959503174,"(128, 64)",0.3,0.001,512,40,8.0
MLP,2,11,0.2998226284980774,0.942555010318756,0.3243429958820343,0.938117504119873,"(256, 128)",0.3,0.001,512,40,
Embedding MLP,4,15,0.300459623336792,0.9423417448997498,0.2995219528675079,0.9418809413909912,"(256, 128)",0.4,0.0005,512,50,16.0
MLP,3,21,0.3003030717372894,0.9423375129699708,0.311470627784729,0.93925803899765,"(256, 128)",0.4,0.0005,512,50,
Embedding MLP,1,12,0.3004632890224457,0.9422930479049684,0.3026846945285797,0.9403823018074036,"(128, 64)",0.2,0.001,512,40,4.0
MLP,1,12,0.3005971610546112,0.9422690272331238,0.3163142204284668,0.9370830059051514,"(128, 64)",0.2,0.001,512,40,
Embedding MLP,2,11,0.3017233610153198,0.9418561458587646,0.3006874918937683,0.941771924495697,"(128, 64)",0.3,0.001,512,40,8.0
MLP,1,11,0.301931083202362,0.9417718052864076,0.3146087527275085,0.9372762441635132,"(128, 64)",0.2,0.001,512,40,
Embedding MLP,3,14,0.3018095791339874,0.94175523519516,0.3067976236343384,0.9403676390647888,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,4,14,0.3022254705429077,0.9417151808738708,0.3016539514064789,0.941588819026947,"(256, 128)",0.4,0.0005,512,50,16.0
Embedding MLP,1,11,0.3025473058223724,0.9415885210037231,0.3063880801200866,0.940021276473999,"(128, 64)",0.2,0.001,512,40,4.0
