model,model_type,dataset,auc,accuracy,precision,recall,f1,description,auc_rank
Stacking_D_LGBM_Meta,stacking,test,0.9485,0.8735,0.8193,0.8487,0.8337,XGBoost + LightGBM + MLP with LightGBM meta learner.,1
Weighted_Average_LGBM_Heavy,weighted_average,test,0.9485,0.872,0.8117,0.8561,0.8333,"Higher weight for LightGBM, the strongest single model.",1
LightGBM,single,test,0.9485,0.8716,0.8113,0.8552,0.8326,Base single model probability.,1
Stacking_C_RF_Meta,stacking,test,0.9485,0.8726,0.8176,0.8481,0.8326,XGBoost + LightGBM + MLP with Random Forest meta learner.,1
Weighted_Average_Tree_Heavy,weighted_average,test,0.9484,0.8721,0.813,0.8543,0.8331,"Higher weights for tree models, lower weight for MLP.",2
XGBoost,single,test,0.9483,0.8721,0.8135,0.8532,0.8329,Base single model probability.,3
Stacking_A_LR_XGB_LGBM_MLP,stacking,test,0.948,0.8713,0.8089,0.8583,0.8328,XGBoost + LightGBM + MLP with Logistic Regression meta learner.,4
Stacking_B_LR_RF_LGBM_MLP,stacking,test,0.9477,0.8708,0.8091,0.8562,0.832,Linear model + bagging tree + boosting tree + MLP.,5
Weighted_Average_Equal,weighted_average,test,0.9476,0.871,0.8097,0.8559,0.8322,"Equal weighted average of XGBoost, LightGBM and MLP.",6
Random Forest,single,test,0.9422,0.8639,0.8074,0.8348,0.8209,Base single model probability.,7
MLP,single,test,0.9341,0.8459,0.7648,0.8486,0.8045,Base single model probability.,8
Logistic Regression,single,test,0.9152,0.8196,0.7175,0.8532,0.7795,Base single model probability.,9
