country,booking_count,cancellation_count,cancellation_rate,avg_adr,avg_lead_time
PRT,45901,26063,0.5678,87.16,116.08
GBR,10573,2205,0.2086,93.48,122.04
FRA,9880,1786,0.1808,105.66,81.84
ESP,7775,1894,0.2436,105.36,53.39
DEU,6911,1141,0.1651,103.09,137.76
ITA,3581,1270,0.3546,110.23,90.4
IRL,2914,743,0.255,95.24,116.74
BEL,2204,438,0.1987,110.63,97.89
BRA,2051,747,0.3642,107.63,82.28
NLD,1951,358,0.1835,105.53,78.62
USA,1912,440,0.2301,114.44,78.17
CHE,1569,377,0.2403,114.39,89.62
AUT,1207,224,0.1856,106.42,119.05
CN,1130,210,0.1858,105.34,118.5
SWE,954,212,0.2222,107.98,105.94
CHN,951,428,0.4501,107.44,43.66
POL,840,192,0.2286,102.71,87.2
ISR,648,163,0.2515,107.52,89.6
RUS,543,193,0.3554,109.03,75.56
NOR,529,153,0.2892,115.49,119.62
